freq,peak_mag,dBV
6000,1.01589844823055e-05,-102.873294017709
6892,1.4488115386321e-05,-99.7900620340386
7917,1.34882090568359e-05,-100.411214185394
8485,1.24784807455473e-05,-101.087065692002
9094,8.83872648846367e-06,-104.082506056549
10447,2.43398230635511e-06,-115.283951619928
12000,7.59433416628361e-06,-105.400505895191
13784,2.52861295710373e-05,-94.9526527762987
15834,3.80548459931575e-05,-91.4021005825604
16971,1.58060632114076e-05,-99.0338256680065
18189,1.42694429080855e-05,-99.9221595926891
20893,1.81684137078825e-05,-97.8239597461833
24000,1.22197582249311e-05,-101.269047692219
27569,6.77359982901226e-06,-106.393909240628
31668,6.24573919878209e-06,-107.098623044938
33941,9.35153669303106e-05,-83.5926403114519
36377,2.56293582642125e-05,-94.8355453169975
41786,1.42505085437462e-05,-99.9336926995009
48000,9.25086685249049e-06,-103.686651352423
55138,1.08843490183229e-05,-102.274250767654
63336,2.33748011658303e-05,-95.6353414506257
67882,3.10298309178785e-06,-113.174711774401
72754,0.00182579740777319,-57.781248233829
6000,1.48331159462606e-05,-99.5856521267375
6892,1.27812022237095e-05,-100.878865830792
7917,1.47151284173096e-05,-99.6550188267915
8485,1.76809760048922e-06,-118.06017526138
9094,8.41147007346252e-06,-104.512861874216
10447,9.5488784900256e-06,-103.41125261752
12000,8.85815928462576e-06,-104.063430249333
13784,5.81025347365975e-05,-87.7263983766111
15834,1.74121535762423e-05,-98.1932501765255
16971,2.41927036120663e-05,-95.3366118591907
18189,1.80850948410422e-05,-97.8638841444152
20893,4.35357725794628e-05,-90.2333748408324
24000,1.34879808449308e-05,-100.411361146357
27569,2.87647740350743e-06,-113.833080622127
31668,7.26441952284183e-06,-105.786281618642
33941,5.67370071942501e-05,-87.9329714851105
36377,1.83465697527402e-05,-97.7392024287092
41786,4.63132704019934e-06,-109.696190962808
48000,1.90722586788639e-05,-97.4022573870883
55138,1.04781751627823e-05,-102.604586871893
63336,4.12228527020015e-06,-110.707539106432
67882,9.12367736069494e-06,-103.806901576997
72754,0.00058883483466306,-67.6104300695059
6000,1.27853643743057e-05,-100.876037763839
6892,1.16615246947666e-05,-101.675193230797
7917,8.42268040667159e-06,-104.501293517194
8485,8.20221347586474e-06,-104.73167859035
9094,1.40175138756386e-05,-100.076880063248
10447,1.36162432979205e-05,-100.329153899126
12000,4.94157052284033e-06,-109.13300000244
13784,7.46087643921554e-06,-105.554503004083
15834,1.3732755754355e-05,-100.255146038096
16971,6.3969038084319e-05,-86.8909035528289
18189,4.79294748017964e-05,-89.3982465539088
