trial,freq,mV,atten,dB_SPL
1,6000,2048,110,0
2,6892,1984,110,0
3,7917,2080,110,0
4,8485,1600,110,0
5,9094,1376,110,0
6,10447,1408,110,0
7,12000,1056,110,0
8,13784,832,110,0
9,15834,1408,110,0
10,16971,1152,110,0
11,18189,1440,110,0
12,20893,1920,110,0
13,24000,2112,110,0
14,27569,2208,110,0
15,31668,1824,110,0
16,33941,2048,110,0
17,36377,1760,110,0
18,41786,2624,110,0
19,48000,3104,110,0
20,55138,4032,110,0
21,63336,4832,110,0
22,67882,6112,110,0
23,72754,7488,110,0
24,6000,2048,100,10
25,6892,1984,100,10
26,7917,2080,100,10
27,8485,1600,100,10
28,9094,1376,100,10
29,10447,1408,100,10
30,12000,1056,100,10
31,13784,832,100,10
32,15834,1408,100,10
33,16971,1152,100,10
34,18189,1440,100,10
35,20893,1920,100,10
36,24000,2112,100,10
37,27569,2208,100,10
38,31668,1824,100,10
39,33941,2048,100,10
40,36377,1760,100,10
41,41786,2624,100,10
42,48000,3104,100,10
43,55138,4032,100,10
44,63336,4832,100,10
45,67882,6112,100,10
46,72754,7488,100,10
47,6000,2048,90,20
48,6892,1984,90,20
49,7917,2080,90,20
50,8485,1600,90,20
51,9094,1376,90,20
52,10447,1408,90,20
53,12000,1056,90,20
54,13784,832,90,20
55,15834,1408,90,20
56,16971,1152,90,20
57,18189,1440,90,20
58,20893,1920,90,20
59,24000,2112,90,20
60,27569,2208,90,20
61,31668,1824,90,20
62,33941,2048,90,20
63,36377,1760,90,20
64,41786,2624,90,20
65,48000,3104,90,20
66,55138,4032,90,20
67,63336,4832,90,20
68,67882,6112,90,20
69,72754,7488,90,20
70,6000,2048,80,30
71,6892,1984,80,30
72,7917,2080,80,30
73,8485,1600,80,30
74,9094,1376,80,30
75,10447,1408,80,30
76,12000,1056,80,30
77,13784,832,80,30
78,15834,1408,80,30
79,16971,1152,80,30
80,18189,1440,80,30
81,20893,1920,80,30
82,24000,2112,80,30
83,27569,2208,80,30
84,31668,1824,80,30
85,33941,2048,80,30
86,36377,1760,80,30
87,41786,2624,80,30
88,48000,3104,80,30
89,55138,4032,80,30
90,63336,4832,80,30
91,67882,6112,80,30
92,72754,7488,80,30
93,6000,2048,70,40
94,6892,1984,70,40
95,7917,2080,70,40
96,8485,1600,70,40
97,9094,1376,70,40
98,10447,1408,70,40
99,12000,1056,70,40
100,13784,832,70,40
101,15834,1408,70,40
102,16971,1152,70,40
103,18189,1440,70,40
104,20893,1920,70,40
105,24000,2112,70,40
106,27569,2208,70,40
107,31668,1824,70,40
108,33941,2048,70,40
109,36377,1760,70,40
110,41786,2624,70,40
111,48000,3104,70,40
112,55138,4032,70,40
113,63336,4832,70,40
114,67882,6112,70,40
115,72754,7488,70,40
116,6000,2048,60,50
117,6892,1984,60,50
118,7917,2080,60,50
119,8485,1600,60,50
120,9094,1376,60,50
121,10447,1408,60,50
122,12000,1056,60,50
123,13784,832,60,50
124,15834,1408,60,50
125,16971,1152,60,50
126,18189,1440,60,50
127,20893,1920,60,50
128,24000,2112,60,50
129,27569,2208,60,50
130,31668,1824,60,50
131,33941,2048,60,50
132,36377,1760,60,50
133,41786,2624,60,50
134,48000,3104,60,50
135,55138,4032,60,50
136,63336,4832,60,50
137,67882,6112,60,50
138,72754,7488,60,50
139,6000,2048,50,60
140,6892,1984,50,60
141,7917,2080,50,60
142,8485,1600,50,60
143,9094,1376,50,60
144,10447,1408,50,60
145,12000,1056,50,60
146,13784,832,50,60
147,15834,1408,50,60
148,16971,1152,50,60
149,18189,1440,50,60
150,20893,1920,50,60
151,24000,2112,50,60
152,27569,2208,50,60
153,31668,1824,50,60
154,33941,2048,50,60
155,36377,1760,50,60
156,41786,2624,50,60
157,48000,3104,50,60
158,55138,4032,50,60
159,63336,4832,50,60
160,67882,6112,50,60
161,72754,7488,50,60
162,6000,2048,40,70
163,6892,1984,40,70
164,7917,2080,40,70
165,8485,1600,40,70
166,9094,1376,40,70
167,10447,1408,40,70
168,12000,1056,40,70
169,13784,832,40,70
170,15834,1408,40,70
171,16971,1152,40,70
172,18189,1440,40,70
173,20893,1920,40,70
174,24000,2112,40,70
175,27569,2208,40,70
176,31668,1824,40,70
177,33941,2048,40,70
178,36377,1760,40,70
179,41786,2624,40,70
180,48000,3104,40,70
181,55138,4032,40,70
182,63336,4832,40,70
183,67882,6112,40,70
184,72754,7488,40,70
185,6000,2048,30,80
186,6892,1984,30,80
187,7917,2080,30,80
188,8485,1600,30,80
189,9094,1376,30,80
190,10447,1408,30,80
191,12000,1056,30,80
192,13784,832,30,80
193,15834,1408,30,80
194,16971,1152,30,80
195,18189,1440,30,80
196,20893,1920,30,80
197,24000,2112,30,80
198,27569,2208,30,80
199,31668,1824,30,80
200,33941,2048,30,80
201,36377,1760,30,80
202,41786,2624,30,80
203,48000,3104,30,80
204,55138,4032,30,80
205,63336,4832,30,80
206,67882,6112,30,80
207,72754,7488,30,80
